ID_cliente,Nombre_cliente,Apellido_cliente,Email_cliente,Telefono_cliente
1,Sofía,López,cliente_1@cesconet.com,0976472339
2,Jorge,García,cliente_2@cesconet.com,0942027178
3,Patricia,López,cliente_3@cesconet.com,0912837863
4,Manuel,Pérez,cliente_4@cesconet.com,0901215482
5,Patricia,Pérez,cliente_5@cesconet.com,0937535832
6,Luis,Morales,cliente_6@cesconet.com,0906983157
7,Patricia,González,cliente_7@cesconet.com,0920488833
8,Rosa,Ruiz,cliente_8@cesconet.com,0959414856
9,Manuel,López,cliente_9@cesconet.com,0967393586
10,Rosa,Martínez,cliente_10@cesconet.com,0925391458
11,Carlos,Vásquez,cliente_11@cesconet.com,0946266824
12,Rosa,Martínez,cliente_12@cesconet.com,0930832601
13,María,Rodríguez,cliente_13@cesconet.com,0902290352
14,Luis,Ruiz,cliente_14@cesconet.com,0966560617
15,Luis,Ruiz,cliente_15@cesconet.com,0950000549
16,Esteban,González,cliente_16@cesconet.com,0983300659
17,Esteban,Ruiz,cliente_17@cesconet.com,0938847156
18,Carlos,Martínez,cliente_18@cesconet.com,0928071491
19,Luis,Morales,cliente_19@cesconet.com,0923090824
20,Patricia,González,cliente_20@cesconet.com,0951555834
21,Carlos,Martínez,cliente_21@cesconet.com,0904870413
22,Rosa,Moreno,cliente_22@cesconet.com,0981989490
23,Rosa,García,cliente_23@cesconet.com,0940088452
24,Patricia,Vásquez,cliente_24@cesconet.com,0948903318
25,Manuel,Vásquez,cliente_25@cesconet.com,0993224788
26,Ana,Vásquez,cliente_26@cesconet.com,0931129963
27,Esteban,Pérez,cliente_27@cesconet.com,0990182045
28,Carlos,García,cliente_28@cesconet.com,0993894135
29,Rosa,García,cliente_29@cesconet.com,0970616064
30,Rosa,Morales,cliente_30@cesconet.com,0968177858
31,Carlos,Moreno,cliente_31@cesconet.com,0918078356
32,Ana,Morales,cliente_32@cesconet.com,0901831616
33,Rosa,Pérez,cliente_33@cesconet.com,0999925194
34,Esteban,López,cliente_34@cesconet.com,0926201624
35,Carlos,Morales,cliente_35@cesconet.com,0958411265
36,Patricia,García,cliente_36@cesconet.com,0923205349
37,Sofía,Vásquez,cliente_37@cesconet.com,0951091181
38,Patricia,Vásquez,cliente_38@cesconet.com,0932392203
39,Patricia,Rodríguez,cliente_39@cesconet.com,0957897480
40,María,Morales,cliente_40@cesconet.com,0969585646
41,Patricia,Moreno,cliente_41@cesconet.com,0953901200
42,Manuel,Pérez,cliente_42@cesconet.com,0956721559
43,Jorge,Rodríguez,cliente_43@cesconet.com,0967558553
44,María,Morales,cliente_44@cesconet.com,0933895381
45,María,Moreno,cliente_45@cesconet.com,0901361811
46,Carlos,Pérez,cliente_46@cesconet.com,0991265628
47,Sofía,González,cliente_47@cesconet.com,0911023005
48,Patricia,Rodríguez,cliente_48@cesconet.com,0991595062
49,Manuel,Morales,cliente_49@cesconet.com,0955730870
50,Sofía,Martínez,cliente_50@cesconet.com,0942530422
51,Patricia,Ruiz,cliente_51@cesconet.com,0983922463
52,Esteban,Vásquez,cliente_52@cesconet.com,0936459130
53,Rosa,Martínez,cliente_53@cesconet.com,0981380787
54,Patricia,Pérez,cliente_54@cesconet.com,0936572940
55,Rosa,Martínez,cliente_55@cesconet.com,0918773318
56,María,Ruiz,cliente_56@cesconet.com,0998929951
57,Sofía,Vásquez,cliente_57@cesconet.com,0969713900
58,Carlos,Vásquez,cliente_58@cesconet.com,0955261203
59,Manuel,Martínez,cliente_59@cesconet.com,0913326819
60,Luis,Vásquez,cliente_60@cesconet.com,0934717355
61,Patricia,Martínez,cliente_61@cesconet.com,0986187388
62,Rosa,Vásquez,cliente_62@cesconet.com,0951912829
63,Patricia,García,cliente_63@cesconet.com,0914644950
64,Manuel,Rodríguez,cliente_64@cesconet.com,0996907659
65,María,González,cliente_65@cesconet.com,0997141810
66,Ana,López,cliente_66@cesconet.com,0904295446
67,Rosa,Pérez,cliente_67@cesconet.com,0904900528
68,Ana,Vásquez,cliente_68@cesconet.com,0955011185
69,María,Pérez,cliente_69@cesconet.com,0999954687
70,Manuel,Ruiz,cliente_70@cesconet.com,0919948537
71,Sofía,Martínez,cliente_71@cesconet.com,0942862965
72,Rosa,Moreno,cliente_72@cesconet.com,0988568134
73,Patricia,Pérez,cliente_73@cesconet.com,0940482656
74,Rosa,Rodríguez,cliente_74@cesconet.com,0911573826
75,Manuel,Moreno,cliente_75@cesconet.com,0917905726
76,Ana,Moreno,cliente_76@cesconet.com,0967211653
77,Carlos,López,cliente_77@cesconet.com,0974037636
78,Rosa,Morales,cliente_78@cesconet.com,0906585489
79,Sofía,Morales,cliente_79@cesconet.com,0934018949
80,Sofía,Vásquez,cliente_80@cesconet.com,0901132238
81,Patricia,Vásquez,cliente_81@cesconet.com,0922987137
82,María,Moreno,cliente_82@cesconet.com,0990751269
83,Rosa,Morales,cliente_83@cesconet.com,0990565951
84,Sofía,Morales,cliente_84@cesconet.com,0903593687
85,Jorge,Pérez,cliente_85@cesconet.com,0946201500
86,Luis,Moreno,cliente_86@cesconet.com,0947598399
87,Patricia,Morales,cliente_87@cesconet.com,0981890558
88,Manuel,Pérez,cliente_88@cesconet.com,0992897813
89,María,García,cliente_89@cesconet.com,0981516989
90,Sofía,Martínez,cliente_90@cesconet.com,0947382359
91,Jorge,García,cliente_91@cesconet.com,0918147868
92,Carlos,Vásquez,cliente_92@cesconet.com,0917117614
93,Manuel,Martínez,cliente_93@cesconet.com,0959184092
94,Carlos,Morales,cliente_94@cesconet.com,0974170190
95,Manuel,García,cliente_95@cesconet.com,0939884600
96,Ana,Pérez,cliente_96@cesconet.com,0936275905
97,Rosa,Moreno,cliente_97@cesconet.com,0994464706
98,Carlos,Vásquez,cliente_98@cesconet.com,0981343266
99,Jorge,Rodríguez,cliente_99@cesconet.com,0961807054
100,Luis,Ruiz,cliente_100@cesconet.com,0921190076
101,María,López,cliente_101@cesconet.com,0955783806
102,Carlos,López,cliente_102@cesconet.com,0914814717
103,Luis,Ruiz,cliente_103@cesconet.com,0961434700
104,Luis,López,cliente_104@cesconet.com,0978063837
105,María,López,cliente_105@cesconet.com,0987882016
106,Jorge,Rodríguez,cliente_106@cesconet.com,0986843341
107,Esteban,González,cliente_107@cesconet.com,0902449643
108,Ana,Morales,cliente_108@cesconet.com,0922985068
109,Manuel,Moreno,cliente_109@cesconet.com,0948052544
110,Patricia,Ruiz,cliente_110@cesconet.com,0987595107
111,María,Ruiz,cliente_111@cesconet.com,0929835302
112,Carlos,Vásquez,cliente_112@cesconet.com,0929991379
113,Patricia,Rodríguez,cliente_113@cesconet.com,0988038196
